"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"Total Deaths"	"Total Missing"
"[""1950 <= Year >= 2022""]"														
	1953	10	5			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	758	"Stratovolcano"	1	
	1953	12	24			"Ruapehu"	"New Zealand"	"New Zealand"	-39.28	175.57	2797	"Stratovolcano"	151	
	1954	2		3395		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"		
	1954	7	21			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"	1	
	1954	8	3			"Bam"	"New Guinea-NE of"	"Papua New Guinea"	-3.613	144.818	685	"Stratovolcano"	25	
	1954					"Camiguin"	"Mindanao-Philippines"	"Philippines"	9.203	124.673	1552	"Stratovolcano"	2	
	1955	7	26			"Carran-Los Venados"	"Chile-C"	"Chile"	-40.35	-72.07	1114	"Pyroclastic cone"	2	
	1955	10	13			"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"		
	1956	3	30	1856		"Bezymianny"	"Kamchatka"	"Russia"	55.972	160.595	2882	"Stratovolcano"		
	1957	3	11		4116	"Vsevidof"	"Aleutian Is"	"United States"	53.13	-168.693	2149	"Stratovolcano"		
	1957	7				"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"	13	
	1957	10	13			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	758	"Stratovolcano"	1	
	1957	10				"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	12	
	1958	7	12			"Mahawu"	"Sulawesi-Indonesia"	"Indonesia"	1.352	124.865	1299	"Stratovolcano"	1	
	1958	7	21			"Taisetsuzan"	"Hokkaido-Japan"	"Japan"	43.664	142.854	2291	"Stratovolcano"	2	
	1958	10	7	1882		"Kuwae"	"Vanuatu-SW Pacific"	"Vanuatu"	-16.829	168.536	-2	"Caldera"		
	1960	5	25	1902	4227	"Puyehue-Cordon Caulle"	"Chile-C"	"Chile"	-40.59	-72.117	2236	"Stratovolcano"		
	1961	1	25			"Calbuco"	"Chile-S"	"Chile"	-41.33	-72.618	1974	"Stratovolcano"		
	1961	4	23			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"	1	
	1961	5	8			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	6	
	1961	6	18			"Taisetsuzan"	"Hokkaido-Japan"	"Japan"	43.664	142.854	2291	"Stratovolcano"	2	
	1961	8	18			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	1	
	1962	6	29			"Tokachidake"	"Hokkaido-Japan"	"Japan"	43.418	142.686	2077	"Stratovolcano"	5	
	1962	10				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	
	1962	12	31			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	5	
