Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
17-01-2022,11:40:08,,,Afghanistan," Badghis"," Qadis","5,3",8,28,
24-01-2022,13:16:23,,,Haiti," Nippes",,"5,3",7,2,
29-01-2022,02:46:39,5828,,"New Zealand"," Kermadec Islands",,"6,5",0,,
16-02-2022,07:12:25,,,Guatemala," Baja Verapaz, Guatemala, Quezaltenango",,"6,2",8,3,
25-02-2022,01:39:27,,,Indonesia," W Sumatra"," Pasaman, West Pasaman","6,2",9,11,4
16-03-2022,14:36:33,5832,,Japan,"  Off Fukushima",,"7,3",9,4,
22-03-2022,17:41:38,,,Taiwan," Hualien, T'ait-Tung",,"6,7",7,,
27-03-2022,04:28:13,,,Ecuador,"  Esmeraldas",,"5,8",8,,
30-03-2022,20:56:58,5833,,"New Caledonia","  Loyalty Islands",,"6,9",7,,
31-03-2022,05:44:01,5834,,"New Caledonia","  Loyalty Islands",,7,6,,
22-04-2022,21:07:48,,,"Balkans Nw"," Bosnia-Herzegovina"," Mostar, Stolac","5,7",7,1,
12-05-2022,21:55:48,,,Peru," Lima, Callao, Chilca",,"5,4",7,2,
25-05-2022,21:43:02,5850,,Mexico,"  Oaxaca",,"5,5",5,,
26-05-2022,12:02:20,,,Peru," Puno",,"7,2",7,,
01-06-2022,09:00:08,,,China," Sichuan Province",,"5,9",7,4,
09-06-2022,17:28:37,,,China,"  Sichuan Province",,"5,9",8,,
21-06-2022,20:54:36,,,Afghanistan," Paktika Province",,"5,9",9,1000,
