Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
02-08-2019,12:03:27,,,Indonesia,"  Java","  Banten","6,9",0,6,
07-08-2019,21:28:02,,,Taiwan,"  Taipei",,"5,9",0,1,
08-08-2019,11:25:31,,,Turkey,"  Denizli",,"5,8",0,,
07-09-2019,22:42:14,,,China,"  Sichuan Province"," Neijiang","5,1",0,1,
21-09-2019,14:04:24,,,Albania,"  Durres",,"5,6",0,,
24-09-2019,11:01:55,,,Pakistan,"  Mirpur District",,"5,6",0,39,
25-09-2019,23:46:44,,,Indonesia,"  Maluku","  Ambon","6,5",0,31,
26-09-2019,10:59:26,,,Turkey,"  Istanbul",,"5,7",0,1,
26-09-2019,16:36:18,,,Chile,"  South Central",,"6,1",0,1,
29-09-2019,15:57:53,,,Chile,"  Concepcion",,"6,8",0,1,
10-10-2019,04:39:48,,,Indonesia,"  Passo",,5,7,1,
16-10-2019,11:37:06,,,Philippines,"  Mindanao","  Cotabato, Davao","6,4",7,7,
29-10-2019,01:04:44,,,Philippines,"  Mindanao","  Cotabato, Davao","6,6",0,13,
31-10-2019,01:11:19,,,Philippines,"  Cotabato, Sultan Kudarat",,"6,5",0,10,
11-11-2019,10:52:46,,,France,"  Le Teil, Saint-Thome, Viviers",,"4,8",7,,
12-11-2019,10:10:44,,,Indonesia,"  Maluku","  Ambon",5,0,2,
14-11-2019,16:17:40,5733,,Indonesia,"  Molucca Islands","  N","7,1",0,1,
