"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1950 <= Year >= 2022""]"																																													
	1955	4	19	16	47	19	3	1	6.2			0	"GREECE"	"VOLOS GULF"	39.4	23.1		1																8	1			149	3		4	459	3	8352	4
	1955	4	19	20	24	5	4	1	7.1			0	"CHILE"	"CENTRAL CHILE"	-30	-72	1	7			1	1	1						1		1			1	1						1		1		
	1955	5	17	14	49	49	2	1	7.3			0	"INDIA"	"LITTLE NICOBAR ISLAND"	6.5	94		0																											
	1955	9	8	3	27	14	3	1	6.5			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6.9	155.7		1																											
	1955	9	23	15	6	23	0	1	6.8			0	"CHINA"	"JINSHA RIVER, YUNNAN PROVINCE"	26.6	101.8	1	0																											
	1955	10	10	8	57	52.9	3	1	7.3			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-5.1	152.924		1																											
	1956	1	8	20	54	13	1	1	7.1			0	"CHILE"	"NORTHERN CHILE"	-19	-70		0																	1						1				
	1956	3	2	22	43		0	1	5.3			0	"NEW ZEALAND"	"LAKE TAUPO, NORTH ISLAND"	-38.9	175.8	0.9	0																											
	1956	3	5	23	29		4	1	6.3			0	"JAPAN"	"NE. HOKKAIDO ISLAND"	44.3	144.1	0.4	1		-1.3	-2																								
	1956	3	30	6	11		2	6		2952		1	"RUSSIA"	"KAMCHATKA"	55.978	160.587	0.3	13		-0.7																									
	1956	7	9	3	11	45.2	4	1	7.7			3	"GREECE"	"CYCLADES"	36.664	25.957	30	100		5	5	3	1						2					56	2						3				
	1956	7	9	3	24		3	1	6.8			0	"GREECE"	"AMORGOS ISLAND, AEGEAN ISLANDS"	36.8	25.5	10	1																											
	1956	8	12	16	59	37.6	-1	1	6.5			0	"JAPAN"	"IZU PENINSULA"	33.8	138.8		1		-1	-1																								
	1956	11	2	16	4	33	2	1	5.8			0	"GREECE"	"NORTH AEGEAN"	39.5	23	1.2	1		0.3	2																								
	1956	12	18	2	31	3	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-25.5	-71		0																											
	1957	3	9	14	22	31.9	4	1	8.6			6	"USA"	"ANDREANOF ISLANDS, AK"	51.292	-175.629	32	332		3.9	3	2	1			1	1		3		1			2	1			1	1		3		1		
	1957	6	22	23	50	23	3	1	7.3			0	"INDONESIA"	"NW. IRIAN JAYA"	-1.5	137	1.8	2		0.8																									
	1957	7	28	8	40	1	4	1	7.9			0	"MEXICO"	"S. MEXICO"	16.5	-99.1	1.3	3		1.3	0.5													65	2				3	25	4		3		
	1957	7	29	17	15	14	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-23.5	-71.5		0																											
	1957	9	26				3	1	5.5			0	"INDONESIA"	"SOUTH OF JAVA"	-8.2	107.3	0.7	0		-0.5																									
	1957	10	26	14	16	57	2	1	6			0	"INDONESIA"	"MAKASSAR STRAIT"	-2	116		1			0																								
	1957	11	1	5	0		-1	9				0	"USA"	"HAWAII"			0.1	5			-3																								
	1957	11					2	0				0	"SOLOMON ISLANDS"	"MALAITA ISLAND, SOLOMON ISLANDS"	-8.57	160.72	2.7	2		1.4																									
	1958	1	19	14	7	27	4	1	7.6			0	"ECUADOR"	"COLOMBIA-ECUADOR"	1.5	-79.5		3			2	4	1						1		1			115	3			46	1		2		2		
	1958	2	7	23	23	36	0	1	6.2			0	"CHINA"	"SICHUAN PROVINCE"	31.5	105		1																											
	1958	4	9				-1	1				0	"PERU"	"PERU"				0			1.5																								
	1958	4	21	22	37	46	2	1	6.5			0	"INDONESIA"	"BENGKULU, SUMATRA"	-4.5	104		0			0.5																								
	1958	7	10	6	15	59.9	4	3	7.8			2	"USA"	"SE. ALASKA, AK"	58.37	-136.665	524.6	17		4.6	5	5	1					0.1	1		1			5	1					0.1	1		1		
	1958	9	17	12	24		2	1	5			0	"RUSSIA"	"N. KURIL ISLANDS"	48.6	156.1	0.23	1		-2.3	-1																								
	1958	10	7	10	0		1	6		5644		0	"VANUATU"	"KUWAE VOLCANO"	-16.829	168.536		1			0																								
	1958	11	4	22	54	46	1	1	6.1			0	"PACIFIC OCEAN"	"EAST PACIFIC RISE"	-50	-115	0.1	1																											
	1958	11	6	22	58	8.6	4	1	8.3			0	"RUSSIA"	"S. KURIL ISLANDS"	44.53	148.54	5	60		2	2.5						2		2										2		2				
	1958	11	12	20	23		2	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	44.2	148.8	1	8			-1																								
	1959	1	22	5	10	0	4	1	6.8			0	"JAPAN"	"SANRIKU"	37.5	142.2	0.8	9		-0.3	-2																								
	1959	2	7	9	36	51	1	1	7.4			0	"PERU"	"N. PERU"	-4	-81.5	0.4	1			-2																				1				1
	1959	2	23				1	0				0	"GREECE"	"GRECIAN ARCHIPELAGO, CRETE"	40.63	22.97	1	4			3																								
	1959	4	9	12	24	20	2	1	5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.3	149	0.1	1		-3.3	-2																								
	1959	5	4	7	15	42	4	1	8.2			0	"RUSSIA"	"KAMCHATKA"	52.5	159.5	0.2	7		1	1																								
	1959	5	7				4	8				0	"NORWAY"	"NORTHERN NORWAY"	69.817	20.917	4	1			4													9	1						1				
	1959	8	17	21	4	40	4	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-7.5	156	1	5		1.3									2				1								3				1
	1959	8	18	6	37	13.5	0	3	7.5			0	"USA"	"HEGBEN LAKE, MONTANA"	44.712	-111.215	1	1																28	1					11	3				2
	1959	8	29	17	3	10	0	1	6.5			0	"RUSSIA"	"LAKE BAYKAL (BAIKAL)"	52	106.5		0																											
	1959	10	26	7	35	0	4	1	6.7			0	"JAPAN"	"SANRIKU"	37.5	143.2	0.11	8		-3.3	-4																								
	1960	1	13	15	40	34	1	1	7.8			0	"PERU"	"S. PERU"	-15.75	-72.75	5.7	1		2.6	3																				1				
	1960	2	29	23	40	12	1	1	6.8			0	"MOROCCO"	"MOROCCO"	30.5	-9.5		1																13100	4			25000	4	120	4		3		
	1960	3	20	17	7	30	4	1	7.5			0	"JAPAN"	"SANRIKU"	39.8	143.4	1	19		0	-2																				1				
	1960	3	23	0	23		4	1	6.7			0	"JAPAN"	"SANRIKU"	39.4	143.7	0.75	12		-1	-2.5																								
	1960	5	21	10	2	50	4	1	8.2			0	"CHILE"	"CENTRAL CHILE"	-37.872	-73.243	0.5	7			-1														1				3		1				
	1960	5	22	19	11	17	4	1	9.5	4153		26	"CHILE"	"SOUTHERN CHILE"	-38.143	-73.407	25	1277		4.6	4	2226	4			3000	4	1000	4	58622	4			2226	4			3000	4	1000	4	58622	4		
	1960	5	24				-1	0	6.7			0	"CHILE"	"SOUTHERN CHILE"				0																											
	1960	6	11	15	14	9	3	1	6.6			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-9.4	152.3		1		-0.5	0																								
	1960	7	29	17	31	45	4	1	6.7			0	"JAPAN"	"SANRIKU"	40.3	142.5	0.3	5		-1	-3																								
	1960	11	1	8	45	59	1	1	7.4			0	"CHILE"	"SOUTHERN CHILE"	-38.5	-75.1		0																											
	1960	11	20	22	1	56.4	3	1	6.8			0	"PERU"	"N. PERU"	-6.8	-80.7	9	19		3.2	4	66	2			2	1	0.55	1					66	2			2	1	0.55	1				
	1961	1	16	7	20	0	4	1	6.8			0	"JAPAN"	"KASHIMA, JAPAN"	36	142.3	0.4	5		-1.3	-2																								
	1961	1	16	11	19	0	4	1	6.4			0	"JAPAN"	"KASHIMA, JAPAN"	36	141.9	0.4	2		-1.3	-2																								
	1961	1	16	12	12	0	4	1	6.5			0	"JAPAN"	"KASHIMA, JAPAN"	36.2	141.9	0.4	4		-1.3	-2																								
	1961	2	12	21	53	0	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	147.9	1	5			-0.5																								
	1961	2	26	18	10	48.7	4	1	7.6			0	"JAPAN"	"SEIKAIDO"	31.6	131.8	0.65	34			-0.5													2	1			7	1		2	170	3		
	1961	3	18				2	1				0	"SOLOMON ISLANDS"	"HONIARA, GUADALCANAL"	-9.43	159.95	3.6	2											1		1		1								1		1		1
	1961	5	23	2	45	19	2	1	6.4			0	"TURKEY"	"ASIA MINOR"	36.693	28.594		0			2																								
	1961	6	6				1	9				0	"ITALY"	"AEGEAN SEA"			0.9	3		-0.1	2																								
	1961	6	16	10	31	57.3	0	2	6.5			0	"COLOMBIA"	"NORTHEASTERN"	8.9	-73.4		1																											
	1961	7	18	14	4	0	4	1	6.6			0	"JAPAN"	"RYUKYU ISLANDS"	29.6	131.8	0.2	6		-2.3	-3																								
	1961	7	23	21	51	10.5	3	1	7.3			0	"VANUATU"	"VANUATU ISLANDS"	-18.421	168.411	0.9	2			-0.5								1												1				
	1961	8	1	5	39	54.4	2	1	6.4			0	"SOLOMON ISLANDS"	"SOLOMON SEA"	-9.849	160.614	0.9	0																											
	1961	8	11	15	51	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.9	145.6	0.1	9		-3.3	-4																								
	1961	10	18	16	51	57	1	1	6.5			0	"CHILE"	"CENTRAL CHILE"	-36.7	-73		0																	1						1				
	1961	10	18	16	51	57	1	1	6.5			0	"CHILE"	"CENTRAL CHILE"	-36.7	-73		0																	1						1				
	1961	11	15	7	17	0	4	1	6.9			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.7	145.7	0.1	9		-3.3	-3.5																								
	1962	1	11	5	5		3	1	6.1			0	"CROATIA"	"DALMATIAN COASTS"	43.3	17.1	0.04	1																1	1						2	2290	4		
	1962	3	12	11	40	16.7	3	1	6.8			0	"PANAMA"	"COSTA RICA-PANAMA"	8.008	-82.757	0.1	2		-3.3																					1				
	1962	4	12	0	52	43	4	1	7.2			0	"JAPAN"	"SANRIKU"	38.073	142.741	1	12			-2																								
	1962	4	23	5	58	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.2	143.9	0.1	10		-3.3	-3.5																								
	1962	5	11	14	11	54.1	4	1	7			0	"MEXICO"	"S. MEXICO"	17.2	-99.6	0.81	1		-0.3	0													4	1				3		2		2		
