Variable:,pr
Country:,Denmark
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,73.89,55.08,32.88,39.42,79.16,44.67,59.74,131.32,68.36,43.98,37.37,38.77
1963,7.39,18.75,38.75,37.30,62.23,53.88,60.04,155.89,53.11,78.47,138.12,13.92
1964,32.37,21.95,16.94,31.68,40.17,91.20,75.52,60.58,64.68,70.48,47.99,81.10
1965,77.74,17.74,28.58,65.09,51.24,42.62,101.20,62.62,86.34,29.29,75.56,122.76
1966,43.22,74.45,50.47,57.73,47.76,72.68,64.54,95.37,53.73,90.10,93.55,110.84
1967,66.90,61.94,56.95,49.66,60.08,34.69,54.46,85.36,95.03,157.12,65.65,77.09
1968,63.96,29.06,46.52,36.32,56.00,72.47,96.60,58.30,106.26,94.85,89.89,35.92
1969,69.19,47.43,9.44,47.27,96.15,47.70,48.85,51.06,24.25,27.99,154.02,26.16
1970,27.18,50.65,66.89,80.46,26.14,34.67,79.09,39.95,98.96,104.01,119.26,39.37
1971,44.72,33.50,44.19,22.67,42.21,58.65,54.89,78.64,48.96,63.55,90.03,33.56
1972,27.95,23.55,50.20,61.98,77.03,77.87,57.67,59.00,34.46,20.18,72.30,52.82
1973,31.20,44.92,29.23,48.41,50.32,29.73,67.69,49.19,88.09,36.57,86.14,62.67
1974,76.64,42.36,20.85,5.77,21.71,37.15,85.58,48.39,115.37,86.63,97.22,110.06
1975,86.42,11.63,30.06,58.72,29.51,16.40,40.44,35.03,72.24,47.25,62.98,37.80
1976,72.10,14.37,16.59,23.35,59.47,13.68,24.79,18.32,47.20,102.17,72.67,57.76
1977,64.72,65.52,45.48,62.40,27.74,49.41,53.89,40.85,53.10,51.78,108.31,63.54
1978,63.88,34.73,87.02,17.34,19.83,65.10,51.22,53.08,110.23,37.91,56.83,56.03
1979,39.97,19.73,68.45,51.99,68.48,49.73,45.62,80.69,52.69,46.96,121.86,113.87
1980,41.99,32.21,26.48,26.42,15.71,107.84,94.20,112.37,54.77,140.20,89.39,84.65
1981,56.57,42.86,83.83,11.44,67.20,84.05,85.35,73.65,62.07,130.56,99.02,46.42
1982,54.00,19.76,43.11,18.03,64.21,73.59,30.70,102.22,47.57,88.18,82.49,88.25
1983,67.99,27.77,70.44,74.17,106.13,28.31,16.59,10.80,118.48,93.95,46.17,64.37
1984,98.35,31.81,28.27,18.87,37.22,108.21,36.97,45.34,110.66,126.41,68.66,45.88
1985,48.74,17.19,57.66,61.72,28.88,54.76,83.44,97.06,80.06,35.34,69.48,141.11
1986,78.29,4.46,56.79,27.93,53.09,29.11,64.00,76.04,37.78,90.11,71.96,86.67
1987,24.65,32.80,42.82,34.73,44.24,92.03,81.72,71.00,98.00,84.78,82.45,49.54
1988,121.91,80.52,71.49,23.89,34.80,29.86,143.86,63.72,89.60,75.49,38.49,58.87
1989,19.80,47.99,75.40,41.11,22.58,38.78,58.31,81.43,33.78,92.74,35.93,58.86
1990,78.09,90.78,34.17,33.91,32.89,70.18,49.56,73.87,137.22,85.12,65.58,62.04
1991,61.41,31.57,31.21,42.62,26.54,100.48,42.36,51.02,63.80,53.10,91.82,51.27
1992,40.98,37.83,70.23,62.27,28.35,3.41,52.12,116.47,51.22,83.90,120.40,44.42
1993,93.87,30.24,16.98,20.78,34.45,31.96,103.07,80.73,92.77,79.01,44.56,112.03
1994,91.62,43.55,88.83,34.76,31.51,65.04,11.81,104.90,158.74,65.26,60.66,95.53
1995,96.16,71.43,56.04,43.66,50.65,54.08,28.36,26.17,100.07,47.09,55.17,23.56
1996,6.34,32.86,8.52,12.22,76.81,26.76,35.71,54.44,59.13,69.41,93.21,36.44
1997,7.41,74.69,28.44,33.43,69.93,55.81,51.26,47.39,49.62,74.37,45.40,61.95
1998,62.56,50.11,52.39,66.92,34.17,81.93,98.84,59.87,71.73,156.70,53.38,60.14
1999,73.46,51.54,68.75,46.22,49.69,111.14,51.47,97.08,76.42,77.70,37.12,127.82
2000,52.89,61.95,57.67,46.22,50.05,61.33,45.45,41.86,71.47,86.81,94.52,68.92
2001,45.94,42.99,36.86,64.05,32.71,61.07,46.53,90.46,131.54,63.01,59.10,58.71
2002,76.90,98.22,31.39,31.27,47.38,93.27,104.58,78.61,39.23,118.25,82.10,30.95
2003,44.05,11.40,17.55,51.38,84.11,66.63,75.57,38.29,48.31,55.24,58.38,62.97
2004,80.01,43.31,43.15,37.63,32.12,63.35,81.24,93.32,66.32,98.57,57.42,58.41
2005,50.29,42.37,39.27,23.59,59.59,56.43,89.48,57.57,33.25,64.25,66.06,55.74
2006,25.55,46.28,42.32,44.51,71.99,26.86,29.63,155.07,34.29,116.00,89.09,86.90
2007,106.37,77.35,34.60,10.88,70.91,118.92,129.71,67.84,85.00,38.81,46.51,65.43
2008,75.31,38.83,71.86,37.28,16.44,43.14,52.85,135.74,66.09,99.67,68.25,35.43
2009,37.52,34.12,48.93,11.99,60.21,59.04,82.08,62.10,40.25,82.45,120.71,66.45
2010,30.43,44.71,39.05,23.82,59.70,48.45,68.95,119.08,72.78,82.88,105.27,38.97
2011,46.99,49.68,27.52,17.19,56.62,84.01,118.08,134.22,87.18,72.51,19.78,93.73
2012,85.26,29.56,14.00,45.24,40.59,80.35,95.36,62.14,76.10,83.03,64.26,77.16
2013,61.95,27.31,11.16,26.30,75.14,68.08,26.01,48.63,75.03,107.54,79.14,77.51
2014,65.63,51.52,31.74,46.12,66.69,44.20,48.18,108.93,53.62,125.85,46.92,127.60
2015,109.86,31.13,60.78,28.17,70.02,44.74,80.78,73.30,89.55,42.57,137.45,87.51
2016,54.42,64.58,39.89,51.70,32.03,81.33,73.93,60.40,30.75,71.35,65.18,51.03
2017,41.56,52.79,53.25,52.90,41.83,106.44,95.68,105.80,103.84,141.89,89.11,73.35
2018,90.76,26.84,46.40,44.31,20.41,31.35,20.07,85.09,56.44,61.30,34.81,80.35
2019,54.05,45.26,92.73,16.37,58.08,57.66,58.69,88.55,111.71,107.38,91.79,64.93
2020,75.84,91.52,41.54,20.84,31.32,69.83,84.61,60.52,48.43,94.30,40.77,68.26
2021,66.57,31.56,50.48,25.61,84.35,35.03,66.82,81.23,66.55,94.40,71.50,59.88
