Variable:,tas
Country:,France
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.99,-0.38,4.39,9.67,12.79,16.82,18.96,17.82,15.45,10.48,4.52,3.21
1902,3.75,2.85,6.90,10.34,9.61,15.06,18.22,17.19,14.75,10.00,5.68,2.82
1903,3.16,5.39,7.30,6.69,12.57,14.68,17.28,17.24,15.33,11.93,6.57,2.32
1904,2.38,4.29,5.28,10.21,13.49,16.34,20.21,18.49,13.73,10.93,5.14,4.32
1905,1.18,3.55,7.10,9.07,11.53,16.52,19.99,17.53,14.75,7.78,5.35,3.29
1906,3.79,2.74,5.26,8.41,12.53,15.84,18.17,18.79,15.21,12.57,7.28,1.75
1907,2.07,1.58,5.72,8.11,12.61,15.21,16.40,17.87,15.91,11.66,7.24,5.13
1908,1.15,4.24,4.72,7.32,14.09,16.99,17.87,16.75,14.61,11.56,5.77,3.13
1909,1.55,1.49,4.31,10.25,12.46,14.17,16.13,17.75,14.11,12.11,4.74,4.64
1910,3.76,5.00,6.21,8.32,11.65,16.16,16.41,17.15,13.95,11.70,5.53,5.64
1911,1.00,4.01,6.12,8.19,13.26,15.72,20.60,20.86,17.17,11.38,7.17,6.00
1912,4.06,6.39,8.26,8.83,13.46,15.65,17.88,15.18,12.22,9.71,4.92,4.95
1913,4.69,4.09,7.63,8.91,12.75,15.77,16.15,17.19,14.98,12.07,8.95,3.68
1914,0.12,5.93,7.12,11.03,11.73,14.97,17.27,18.00,14.98,10.44,5.87,5.42
1915,3.22,3.81,5.26,8.24,14.14,17.20,17.31,17.15,14.26,9.23,4.25,6.72
1916,5.85,4.43,5.75,9.33,13.54,13.85,17.24,17.98,14.03,11.15,6.73,4.09
1917,0.92,0.85,3.93,6.39,14.96,17.74,18.13,17.08,16.44,9.26,6.80,0.63
1918,3.26,4.72,6.02,8.45,14.05,14.58,17.92,17.89,15.30,9.50,6.02,6.19
1919,3.16,3.23,5.80,7.31,13.33,16.37,15.63,18.93,16.35,8.16,4.13,4.76
1920,5.11,5.92,7.91,9.74,14.62,15.99,17.58,16.29,15.05,11.04,5.24,3.52
