Variable:,pr
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,2.83,3.33,3.51,118.29,46.06,20.37,10.51,6.90,26.28,17.69,63.48,19.57
1963,9.76,2.04,8.12,82.40,76.62,12.01,14.16,22.13,9.29,24.86,4.46,14.11
1964,1.81,1.04,3.43,42.77,41.74,25.79,11.69,6.44,14.59,86.79,58.95,1.93
1965,1.57,5.79,16.35,67.10,25.25,14.50,6.18,14.15,10.71,89.79,21.52,1.36
1966,1.24,0.92,32.98,53.69,85.69,25.36,12.71,14.80,12.22,78.95,102.75,1.08
1967,1.07,13.12,22.46,92.13,44.75,41.21,27.10,7.71,7.36,44.94,80.44,27.00
1968,3.61,10.65,22.47,21.21,82.80,21.80,16.43,6.95,4.98,37.93,33.88,3.49
1969,3.57,2.84,17.78,67.58,41.92,16.15,11.46,9.20,12.45,37.92,4.53,1.41
1970,0.97,1.09,4.64,45.52,59.62,18.59,6.57,5.97,11.99,50.49,32.37,2.13
1971,1.16,4.58,2.78,38.30,99.02,16.34,18.25,7.28,16.78,102.02,47.33,2.09
1972,1.80,1.40,2.24,32.09,76.74,19.26,8.90,5.44,6.09,45.19,17.08,4.15
1973,1.54,1.12,23.29,30.83,58.62,9.45,10.59,5.19,7.21,19.28,14.23,20.36
1974,8.51,1.55,3.25,46.86,47.76,17.76,26.76,9.33,9.83,15.65,16.08,1.44
1975,1.80,2.08,3.90,80.21,72.95,10.56,15.55,10.03,11.72,31.30,25.51,11.32
1976,3.93,1.06,13.06,79.52,33.32,19.54,9.41,17.56,7.38,82.89,67.55,10.47
1977,1.52,11.34,14.67,45.20,60.00,7.16,14.05,6.62,6.67,66.15,20.95,15.08
1978,9.26,1.77,16.70,43.22,64.62,45.18,20.00,6.28,19.21,25.51,29.92,8.72
1979,1.55,1.14,2.45,20.67,44.90,12.17,18.77,15.97,14.73,26.05,27.14,1.35
1980,1.58,2.41,46.08,90.13,63.38,8.90,15.60,16.67,12.55,27.40,27.26,18.28
1981,2.05,1.79,7.43,53.96,52.31,21.52,17.44,8.26,12.43,117.64,59.66,8.52
1982,3.15,3.97,2.37,48.15,48.56,18.38,17.24,13.84,18.03,18.98,16.98,2.95
1983,2.17,1.24,2.06,31.83,52.01,26.81,10.37,2.87,25.50,28.91,32.41,19.09
1984,1.44,1.57,17.47,58.30,52.40,5.22,16.92,8.02,17.43,27.87,24.96,4.57
1985,1.02,2.21,9.88,92.04,59.61,17.97,10.64,5.05,9.15,19.06,22.40,5.99
1986,1.49,1.34,8.98,32.22,106.19,15.68,8.35,12.48,11.57,46.72,33.90,2.22
1987,1.68,3.03,8.64,109.27,23.56,38.74,18.58,6.60,12.34,17.78,31.37,5.19
1988,1.57,3.12,21.41,75.50,51.15,10.86,5.59,9.06,18.20,63.08,63.00,27.16
1989,1.74,3.83,28.30,97.09,22.25,5.32,6.53,6.20,7.01,44.87,21.19,34.97
1990,2.60,4.69,24.97,52.13,51.37,11.17,12.07,7.36,8.50,25.15,18.12,13.48
1991,3.12,2.86,6.77,39.97,40.51,10.87,9.51,11.67,22.13,29.85,38.67,23.22
1992,4.06,4.00,7.17,54.61,50.47,27.25,16.54,7.52,11.63,46.11,24.53,6.63
1993,2.02,1.85,7.49,46.17,50.73,20.26,12.69,10.67,14.12,51.90,72.32,7.78
1994,2.31,3.66,13.54,64.70,35.66,11.35,13.58,15.46,9.18,54.08,37.02,10.29
1995,3.52,2.65,14.33,47.47,66.59,17.12,11.12,8.18,9.02,23.21,26.76,5.84
1996,2.67,2.04,16.02,67.88,36.45,19.35,10.94,7.03,9.36,75.21,68.59,34.15
1997,4.21,3.09,10.59,52.69,88.30,14.13,13.36,9.93,8.43,27.77,28.34,4.98
1998,2.15,1.95,21.79,35.93,50.91,19.33,11.35,12.18,18.24,47.62,31.01,7.77
1999,2.64,2.61,12.22,52.55,58.40,17.00,11.47,13.46,14.27,46.86,35.75,9.43
2000,2.77,3.07,12.15,45.32,47.98,16.21,11.86,15.26,13.68,35.65,37.02,10.48
2001,3.00,2.79,8.91,67.75,43.23,13.37,11.37,9.69,15.23,57.44,40.78,16.01
2002,2.74,2.69,11.66,61.88,54.99,18.41,15.31,9.08,13.39,46.07,37.06,8.56
2003,3.60,3.57,12.89,60.09,54.79,17.77,13.88,10.26,12.35,50.96,37.46,9.34
2004,3.16,3.16,13.44,54.26,55.94,19.21,14.44,9.84,14.13,45.98,34.33,9.22
2005,3.25,3.09,13.49,60.54,58.71,17.55,16.70,10.44,13.92,46.70,36.75,10.78
2006,3.14,3.65,12.59,57.13,55.60,20.10,11.11,9.34,14.21,66.05,37.03,9.22
2007,3.25,3.11,12.36,48.34,61.93,17.65,11.77,10.54,10.38,51.27,32.28,9.22
2008,3.82,3.33,10.15,45.97,46.47,19.37,13.65,9.61,12.21,52.63,37.72,11.87
2009,3.11,3.77,14.80,59.29,46.36,18.06,14.33,9.70,13.29,46.19,24.47,9.81
2010,3.31,3.12,13.23,49.36,61.49,18.00,14.29,11.17,12.24,45.96,37.72,26.20
2011,3.69,3.75,13.25,55.31,51.55,18.00,14.06,10.54,12.73,42.13,33.16,8.51
2012,3.59,3.11,16.76,51.07,54.19,16.86,13.91,10.30,11.67,47.98,55.09,9.29
2013,3.11,3.47,10.68,49.94,50.50,18.56,14.74,10.17,14.03,49.45,36.82,9.23
2014,3.11,3.11,12.63,59.16,58.65,19.04,14.20,10.35,14.58,64.90,35.87,7.64
2015,3.11,4.40,11.23,63.23,48.28,13.95,20.54,9.60,11.20,32.07,59.81,9.95
2016,3.11,3.87,17.12,94.37,58.79,18.68,11.14,12.21,16.57,63.99,48.34,5.91
2017,2.58,4.62,14.94,59.28,70.20,15.50,11.28,10.75,13.29,47.55,47.45,8.88
2018,3.31,3.75,10.94,58.69,56.94,12.90,22.65,9.41,15.80,74.99,53.95,17.92
2019,3.58,3.75,13.25,59.28,53.14,12.77,12.02,9.59,13.17,42.73,33.63,7.23
2020,,,,,,,,,,,,
