Variable:;tas;;;;;;;;;;;
Country:;Niger;;;;;;;;;;;
;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1962;18.00;21.04;26.45;30.01;32.14;31.91;30.77;29.14;29.93;28.87;25.19;20.82
1963;20.50;24.51;25.13;29.84;32.11;32.53;30.94;30.34;30.89;28.67;22.88;20.56
1964;19.84;21.25;26.86;30.76;32.09;32.27;30.79;29.52;29.45;27.89;22.82;21.34
1965;21.04;22.89;24.80;28.74;31.89;31.86;30.91;29.27;29.88;28.65;22.29;18.54
1966;19.49;20.87;25.31;29.87;31.92;32.15;31.90;30.36;29.90;28.60;24.08;20.06
1967;17.40;22.19;25.03;31.02;32.46;32.34;30.79;29.44;29.43;27.31;23.01;21.18
1968;18.45;22.51;26.19;29.34;31.42;31.63;30.60;31.04;30.48;28.18;23.80;21.46
1969;19.21;23.70;28.31;31.03;32.61;33.30;31.00;30.44;30.77;29.23;24.15;22.07
1970;21.12;21.92;25.47;29.71;32.56;33.12;31.35;30.08;29.76;27.99;22.91;19.39
1971;18.12;22.87;28.05;30.00;32.90;32.85;31.03;29.22;29.68;27.47;23.33;20.07
1972;19.33;22.80;26.97;30.16;32.40;32.29;32.29;31.31;31.43;29.34;22.49;20.58
1973;20.10;23.18;25.83;30.67;32.71;33.82;31.61;30.44;30.83;28.81;22.75;21.37
1974;18.32;21.67;26.60;31.16;32.37;33.02;30.31;29.68;29.75;28.45;23.02;18.17
1975;16.69;21.42;25.89;31.01;32.61;32.88;30.35;29.97;29.35;27.71;24.25;20.56
1976;18.85;23.44;24.77;29.66;32.77;32.06;31.27;30.22;29.99;28.87;24.24;20.66
1977;20.07;21.20;24.09;29.00;32.53;33.04;31.29;29.75;30.12;27.96;22.75;18.78
1978;19.11;22.87;26.53;31.13;33.02;31.89;30.02;30.21;29.74;28.84;23.36;20.50
1979;20.41;22.29;27.36;29.53;32.58;32.15;31.05;30.59;30.71;29.34;25.12;18.98
1980;20.65;22.50;26.23;30.54;33.49;32.60;30.64;30.02;30.56;29.07;24.56;18.59
1981;16.90;21.82;26.42;30.88;32.88;32.64;30.84;30.87;30.69;29.01;22.45;20.25
1982;19.25;21.12;26.14;31.37;32.67;33.12;32.05;30.04;30.85;29.18;22.30;20.04
1983;15.84;22.69;23.81;30.38;34.15;33.14;32.13;31.20;30.72;27.62;24.04;20.78
1984;18.15;21.26;27.19;31.12;33.74;33.14;31.88;32.46;31.38;29.19;24.50;18.82
1985;20.99;20.67;27.60;28.71;33.46;33.29;30.88;30.57;30.17;28.16;24.19;19.00
1986;18.56;23.42;27.31;32.39;32.85;33.42;30.88;30.64;29.98;28.53;24.18;18.06
1987;19.59;22.87;26.54;28.58;33.56;32.97;33.41;31.64;31.34;28.81;24.18;20.67
1988;19.16;22.10;26.55;31.70;33.55;33.48;30.87;29.82;30.34;27.61;23.68;18.92
1989;16.73;19.13;24.94;30.14;32.39;33.30;31.55;29.93;30.53;28.13;23.75;19.98
1990;20.35;20.34;23.89;31.93;33.20;33.60;31.05;30.89;31.07;28.76;25.08;22.77
1991;19.21;24.61;26.70;31.15;31.82;33.22;31.29;30.09;31.05;28.73;23.88;19.19
1992;18.00;20.52;26.49;30.45;32.16;33.40;30.86;29.92;30.07;28.25;23.00;19.34
1993;17.17;21.82;26.59;30.52;33.21;33.17;31.43;30.50;30.69;29.02;25.81;19.74
1994;19.17;21.25;27.79;31.70;32.77;32.64;30.96;29.43;29.53;29.07;23.23;18.49
1995;17.34;20.51;27.30;30.77;33.06;33.92;32.05;31.11;31.18;29.40;23.25;21.73
1996;21.12;23.68;27.40;30.20;33.32;32.63;31.73;30.62;30.81;28.72;22.43;20.64
1997;20.76;19.94;25.70;30.22;32.52;33.59;32.37;31.26;31.54;30.52;25.82;20.16
1998;19.39;23.57;24.02;32.34;34.66;33.54;31.93;30.95;30.34;29.68;24.77;20.85
1999;20.08;22.55;28.23;31.13;32.58;33.52;31.25;29.80;30.36;28.65;24.85;21.48
2000;20.46;19.71;25.23;31.50;33.28;32.91;31.22;30.86;30.88;28.54;24.33;19.36
2001;18.82;20.82;26.51;31.31;33.37;32.67;31.52;30.96;30.92;28.59;24.11;21.51
2002;17.91;21.41;26.88;31.85;33.68;33.38;32.49;31.20;31.18;28.38;24.28;20.84
2003;20.26;23.62;25.35;31.53;32.60;32.50;31.92;30.72;30.66;29.90;25.54;20.10
2004;20.20;22.21;25.34;31.35;33.77;33.40;31.40;30.98;30.98;29.50;25.24;21.66
2005;18.81;23.61;28.79;31.40;32.95;32.70;31.76;30.78;31.05;28.95;24.39;21.64
2006;21.65;24.79;27.13;30.10;33.21;33.74;32.39;30.92;30.50;29.50;22.96;19.01
2007;18.41;23.16;26.46;32.25;33.69;33.59;31.72;30.77;30.51;29.04;25.42;20.98
2008;17.44;20.15;27.30;29.92;33.18;33.48;31.58;30.76;31.02;29.16;24.49;21.69
2009;21.00;24.68;27.21;31.96;33.02;33.84;32.49;31.31;31.47;29.82;24.42;21.55
2010;21.22;25.31;27.51;32.27;34.61;33.69;31.68;30.88;30.66;29.98;26.24;20.69
2011;19.59;24.96;27.83;30.95;33.64;33.71;32.44;30.94;30.92;29.74;24.18;19.54
2012;19.39;24.42;25.63;32.34;33.33;33.05;31.21;30.32;30.40;29.17;25.86;20.98
2013;20.25;21.92;29.30;30.72;33.90;33.61;31.96;29.83;30.91;28.62;25.12;21.11
2014;20.92;22.74;27.16;31.74;32.98;34.35;32.67;30.50;30.77;29.12;25.52;20.34
2015;19.00;22.46;26.98;29.35;33.82;34.60;32.43;30.90;30.38;30.26;24.40;18.04
2016;19.25;22.63;28.76;32.34;32.98;33.13;31.56;30.87;31.02;29.58;25.84;22.25
2017;19.28;22.21;27.07;31.15;33.69;32.87;31.51;31.03;31.26;28.64;24.18;20.64
2018;18.88;24.36;27.90;31.51;32.89;33.55;31.63;30.36;30.87;29.24;24.68;19.47
2019;19.30;22.04;27.58;30.33;32.70;32.80;31.83;30.04;31.36;29.30;24.30;20.39
2020;19.14;21.74;27.55;30.74;33.63;34.28;31.44;29.94;30.22;28.95;23.57;20.72
