Variable:,pr
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,2.81,16.70,31.81,92.45,110.58,165.67,234.58,307.72,208.84,148.26,9.96,5.91
1963,1.18,5.99,42.94,82.18,126.31,178.12,228.46,207.99,223.07,89.96,20.49,3.73
1964,9.09,14.80,30.10,78.21,89.64,204.87,221.03,254.35,195.73,70.66,4.54,3.24
1965,5.85,4.17,30.14,111.73,139.91,172.71,174.68,243.65,219.19,103.16,21.39,2.87
1966,2.80,4.04,37.45,76.99,84.30,166.27,206.43,232.96,223.04,90.02,14.58,7.56
1967,4.48,12.58,33.80,114.67,133.30,186.06,238.55,284.64,202.19,70.53,10.92,3.99
1968,2.05,6.16,46.69,78.53,112.29,182.38,240.67,241.12,198.07,134.78,22.60,1.73
1969,10.06,4.11,34.28,54.26,125.71,124.28,198.50,252.46,234.08,75.86,5.70,0.09
1970,3.25,16.39,30.99,39.43,114.46,134.19,236.01,247.71,217.45,60.79,4.82,4.23
1971,5.13,17.23,31.23,82.56,157.82,150.48,154.58,213.90,162.28,78.73,3.85,6.96
1972,2.99,6.51,20.82,54.36,83.22,137.35,161.35,223.88,196.47,76.05,5.09,8.75
1973,3.54,7.88,26.30,66.42,110.91,135.58,253.07,205.48,236.64,106.80,6.52,1.26
1974,0.19,14.90,29.30,87.57,123.65,137.05,256.09,198.31,216.10,84.45,23.27,6.10
1975,1.73,34.97,32.79,68.87,123.99,160.42,159.13,185.72,167.54,189.89,29.08,6.78
1976,6.75,6.23,15.40,28.08,100.98,150.31,183.58,226.71,198.63,89.24,3.95,4.84
1977,3.96,11.42,43.37,139.49,135.73,165.42,230.31,210.75,201.29,121.70,20.86,2.21
1978,1.92,14.14,31.78,66.20,134.02,169.04,242.06,245.54,176.42,93.00,26.00,0.48
1979,2.33,8.52,22.42,51.43,148.19,157.21,229.29,280.92,191.80,114.45,21.06,1.00
1980,2.73,2.59,22.44,67.62,139.57,172.36,230.24,207.35,184.81,78.62,7.58,0.21
1981,7.20,16.46,29.27,75.18,107.16,129.41,200.35,201.43,156.23,100.35,8.49,0.51
1982,0.02,3.48,15.58,27.81,111.50,151.61,180.79,165.59,163.07,35.60,8.82,8.18
1983,0.32,3.13,35.68,61.61,120.50,130.54,211.30,187.66,196.07,81.71,14.45,0.99
1984,4.28,2.68,65.74,43.35,122.65,159.27,216.27,217.89,197.19,52.16,12.50,0.85
1985,6.09,14.60,44.68,43.17,90.63,130.60,221.93,177.23,210.24,93.11,14.58,0.03
1986,0.77,15.09,35.08,27.91,87.01,132.97,174.93,278.83,162.69,90.04,4.18,2.25
1987,6.52,15.02,27.90,79.52,99.22,167.56,210.67,255.11,221.31,73.43,5.86,9.77
1988,0.31,1.16,21.09,60.91,119.29,166.11,209.60,252.78,168.11,119.39,6.62,1.00
1989,4.59,5.10,4.97,68.39,113.78,136.88,255.65,214.73,166.12,84.20,14.44,14.79
1990,0.61,13.14,40.15,100.23,189.32,157.73,229.86,264.24,136.95,94.54,5.81,2.90
1991,0.23,1.35,29.63,68.81,133.16,137.88,218.12,199.95,213.26,70.44,16.58,1.51
1992,1.13,7.57,38.65,52.50,111.07,152.97,206.39,233.33,180.62,61.60,20.16,5.90
1993,9.94,3.75,19.65,80.21,106.32,149.66,193.24,271.62,232.81,129.15,10.08,1.33
1994,1.96,7.32,40.42,75.08,110.57,162.56,214.88,257.64,175.15,107.10,17.90,3.61
1995,1.84,15.38,35.16,82.94,133.10,174.36,205.37,246.79,222.75,104.19,5.63,1.77
1996,3.75,0.53,37.17,102.55,134.92,190.65,176.45,192.34,206.76,135.99,23.25,6.75
1997,3.96,7.57,25.50,70.46,124.93,161.11,192.82,221.78,214.12,106.01,12.58,3.11
1998,5.59,12.50,20.21,57.26,98.98,134.19,235.54,250.54,233.04,174.92,13.95,1.08
1999,1.07,0.93,16.43,46.71,112.72,165.62,222.52,235.08,205.16,112.93,5.34,1.37
2000,2.63,7.98,25.72,70.09,119.45,159.74,208.66,230.30,208.06,83.43,11.78,3.57
2001,4.62,7.55,29.98,61.89,99.30,145.29,210.07,215.58,207.86,121.57,12.54,3.36
2002,8.66,10.26,27.50,80.28,119.42,187.59,224.39,256.21,218.88,98.68,16.24,3.06
2003,5.37,8.30,25.24,65.35,138.84,148.74,204.96,226.16,192.37,88.99,16.30,4.64
2004,2.76,10.87,34.20,61.15,118.04,198.89,200.71,220.10,207.39,92.81,12.83,3.48
2005,4.78,9.61,28.93,52.80,110.49,147.46,191.52,249.48,239.85,102.54,14.59,3.33
2006,3.05,9.33,24.23,65.73,118.18,160.43,219.33,245.46,211.18,88.33,14.46,3.73
2007,2.96,7.55,21.43,52.73,117.32,162.57,258.50,233.16,203.38,100.29,12.01,6.58
2008,3.84,9.73,28.31,65.42,121.93,160.52,200.93,245.26,183.81,109.68,14.34,3.07
2009,3.24,9.25,25.05,66.35,105.70,177.21,222.19,227.85,223.37,125.98,23.29,3.98
2010,2.79,15.84,18.65,47.72,105.72,126.66,167.60,208.32,209.93,109.36,11.05,3.73
2011,3.81,11.57,19.83,59.57,139.34,185.42,209.05,234.34,225.98,108.04,12.71,3.95
2012,4.31,8.25,37.68,68.41,93.34,162.87,161.87,215.91,189.25,86.18,11.58,7.89
2013,3.96,7.61,24.13,80.55,121.39,132.58,186.49,221.63,226.34,98.35,13.63,3.90
2014,2.39,8.82,40.27,36.06,87.57,149.52,159.74,240.96,186.63,111.16,12.84,3.34
2015,2.80,6.56,42.22,66.37,131.27,203.56,183.20,240.27,228.07,103.73,10.52,3.01
2016,2.74,5.97,22.89,58.25,129.92,216.98,213.43,218.83,184.05,55.88,21.77,3.23
2017,2.99,11.84,25.39,53.27,122.83,183.55,211.66,223.30,230.37,126.78,14.34,3.11
2018,4.23,9.69,28.74,52.28,115.26,184.61,212.99,248.68,220.48,173.05,14.65,4.47
2019,2.63,6.37,30.12,68.25,114.41,145.34,246.53,252.17,235.01,107.07,11.88,5.71
2020,,,,,,,,,,,,
