Variable:,pr
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1917,1260.47,999.01,2421.11,2044.29,1638.88,531.91,2265.15,2495.05,2193.34,1393.62,2236.24,647.19,1208.41,848.83,743.29,758.47,1624.33,1623.19,2138.93,1279.97,1999.14,2067.07,1819.79,1354.63,514.10,2257.06,931.32,2505.94,2012.26,1943.95,1871.55,871.46,1369.86,2222.34,1214.94,2360.53,522.00,824.17
1918,1220.96,1301.74,2549.99,2061.76,1590.13,640.58,2290.29,2129.89,1831.14,1240.71,2308.02,812.33,1213.64,985.54,924.71,932.89,1488.14,1061.68,1376.79,1097.63,1248.35,1270.14,1041.37,1498.25,673.40,2361.11,1029.38,2296.28,2056.57,1420.60,1903.25,1027.88,1278.13,1578.77,1212.44,2428.99,781.38,988.45
1919,1074.93,1097.32,2208.69,1786.13,1519.91,505.00,2091.40,1865.20,1581.01,1126.44,2011.65,610.02,1039.82,774.57,732.38,909.66,1313.47,914.40,1270.62,976.69,1110.66,1107.33,902.56,1439.61,485.81,2066.87,873.24,2053.65,1860.69,1232.72,1694.65,866.99,1204.37,1383.56,1146.78,2139.61,739.13,855.01
1920,1209.86,1098.35,2707.89,2083.27,1817.86,678.64,2543.02,2046.32,1763.22,1361.37,2331.27,766.88,1234.37,948.64,890.04,874.66,1557.17,1020.40,1202.27,1128.38,1101.61,1129.79,945.16,1416.56,634.64,2443.49,988.80,2204.31,2217.60,1312.97,1996.85,933.36,1432.07,1448.50,1234.41,2441.65,722.66,965.59
1921,1221.87,1119.49,2443.98,2003.70,1589.21,614.20,2194.96,2205.93,1921.76,1363.80,2216.29,677.80,1214.88,868.82,795.77,921.19,1550.02,1270.33,1744.36,1225.34,1608.87,1581.04,1359.91,1349.84,569.01,2262.58,960.27,2315.29,1986.68,1589.46,1853.33,947.06,1360.27,1795.83,1230.70,2346.30,688.39,908.62
1922,1151.36,1058.31,2316.51,1787.54,1487.36,552.17,2120.48,2038.95,1745.08,1165.94,2016.68,709.76,1134.37,897.57,878.70,929.77,1334.19,1154.89,1522.06,1085.79,1359.47,1453.72,1205.73,1426.76,551.22,2091.26,887.10,2160.15,1848.61,1432.69,1674.39,822.68,1218.96,1658.13,1141.62,2174.63,781.63,980.29
1923,1183.71,1154.58,2378.40,1824.14,1753.59,499.72,2323.96,1884.64,1635.10,1258.32,2061.36,692.32,1193.22,883.13,786.88,947.48,1396.52,1157.09,1461.04,1114.96,1295.35,1349.66,1149.41,1628.35,517.83,2175.22,974.27,2029.71,2045.20,1371.21,1791.35,947.96,1362.13,1520.07,1301.62,2153.18,728.81,909.13
1924,1254.59,1168.36,2535.21,2093.99,1692.87,683.91,2320.89,2109.82,1838.94,1355.80,2343.11,735.92,1253.59,927.29,874.29,1078.36,1558.06,1270.31,1309.93,1266.15,1222.10,1283.23,1169.81,1428.44,634.50,2396.38,978.46,2334.75,2155.45,1486.05,1969.62,975.04,1383.16,1587.43,1238.63,2458.74,831.84,1046.76
1925,1213.28,1142.05,2487.05,1955.11,1708.47,494.67,2350.21,2044.63,1730.84,1350.13,2209.58,715.89,1227.09,927.16,853.41,986.20,1471.46,1206.79,1462.21,1218.72,1325.45,1389.74,1201.26,1534.42,509.62,2295.24,973.54,2214.91,2070.08,1397.45,1851.27,886.72,1374.41,1568.27,1282.65,2315.12,764.79,985.89
1926,1137.41,1106.17,2337.80,1766.34,1598.49,555.21,2189.39,1876.34,1613.64,1263.61,2007.88,646.89,1138.68,843.02,720.66,770.39,1326.40,1150.49,1524.00,1125.51,1361.91,1431.51,1183.48,1484.99,513.79,2114.50,968.74,2004.90,1917.93,1384.68,1687.29,934.60,1311.56,1557.08,1295.34,2130.50,514.09,757.17
