Variable:,tasmax
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,32.19,34.64,36.11,35.29,34.14,31.33,29.99,28.68,30.18,32.44,33.52,32.83
1963,33.80,36.20,35.32,35.52,34.00,32.54,30.30,29.55,31.35,31.98,32.73,33.47
1964,32.81,34.64,36.93,36.10,34.16,31.89,29.47,28.14,29.78,32.21,32.38,32.72
1965,33.16,34.88,35.70,35.30,34.45,31.56,29.88,28.91,30.45,32.81,32.75,32.14
1966,33.15,34.24,36.52,35.50,34.00,32.10,31.30,29.47,29.97,32.32,33.25,32.78
1967,31.82,34.92,35.37,36.18,34.50,31.81,29.59,28.62,29.88,31.96,32.66,32.76
1968,31.62,34.85,36.02,34.63,33.58,31.08,29.81,30.36,30.94,32.91,33.06,33.64
1969,32.72,36.40,37.28,36.29,34.69,32.39,30.22,29.31,30.50,32.27,33.07,34.61
1970,33.40,34.87,36.49,36.14,34.49,33.14,30.06,29.07,30.11,32.47,33.19,32.42
1971,31.63,34.72,36.80,35.88,34.53,32.42,29.80,28.22,29.94,32.12,33.29,31.63
1972,32.76,34.93,36.18,35.14,33.68,31.60,30.92,29.83,31.30,32.52,32.77,32.57
1973,33.12,35.67,36.07,36.76,34.74,33.17,31.05,29.65,30.80,32.74,32.82,32.99
1974,30.78,34.03,36.22,36.24,33.80,32.51,29.16,28.89,29.63,31.99,32.46,31.15
1975,30.84,33.88,35.67,35.75,33.76,32.12,29.33,28.54,29.32,31.89,32.68,32.05
1976,32.10,33.90,35.08,35.37,33.91,31.18,29.50,28.95,30.31,31.17,32.37,32.65
1977,32.11,33.49,35.04,35.96,34.66,32.35,29.99,28.53,30.51,32.38,33.06,31.31
1978,32.48,35.16,35.94,35.03,34.08,31.47,28.58,29.48,30.19,32.07,32.34,33.20
1979,33.28,34.81,36.12,35.78,33.86,31.10,29.71,29.34,30.76,32.86,33.38,31.50
1980,33.61,34.47,36.26,36.36,33.92,31.76,29.63,29.21,31.12,32.35,32.98,31.13
1981,31.28,35.06,36.41,36.58,34.04,32.25,29.30,29.94,30.89,33.05,32.42,33.36
1982,32.50,33.75,35.77,36.39,34.10,32.36,30.66,29.05,31.27,32.64,32.23,32.86
1983,29.39,35.56,35.77,37.40,35.88,32.23,30.58,29.75,31.13,32.91,33.89,32.59
1984,32.29,34.45,36.48,35.95,34.27,32.53,31.04,31.49,31.41,32.75,33.53,31.26
1985,33.09,33.64,36.32,34.75,34.30,32.10,29.81,29.95,30.62,33.00,33.60,31.07
1986,32.28,35.57,36.06,37.05,34.94,32.76,29.30,29.54,30.15,32.62,32.99,31.14
1987,33.31,35.19,35.70,36.09,35.75,32.76,32.03,30.29,31.32,32.70,33.98,32.66
1988,31.70,34.44,36.13,36.32,34.93,32.11,29.46,28.41,30.01,32.44,33.70,30.84
1989,30.66,32.68,35.69,36.48,34.00,32.45,30.07,29.23,30.16,32.05,33.56,32.01
1990,32.93,33.35,35.64,36.58,34.32,32.92,29.31,29.74,31.19,32.98,33.54,33.20
1991,32.22,36.01,35.97,35.71,32.81,32.47,29.85,28.92,31.64,32.39,32.93,31.63
