,Date,Year,Month,Country_id,Precipitation,SPI
88,1908-05-31,1908,May,NAM,0.82,0.7471749604867608
89,1908-06-30,1908,June,NAM,0.07,0.8650096135797272
90,1908-07-31,1908,July,NAM,1.26,-0.8315411083274897
91,1908-08-31,1908,August,NAM,0.99,-0.435625276430979
92,1908-09-30,1908,September,NAM,1.23,0.3570218668435007
93,1908-10-31,1908,October,NAM,1.34,1.2965099253094836
94,1908-11-30,1908,November,NAM,18.94,0.36995639797632424
95,1908-12-31,1908,December,NAM,82.14,-2.4680449507062834
96,1909-01-31,1909,January,NAM,128.27,-2.067002552882207
97,1909-02-28,1909,February,NAM,100.52,-1.0689986910439044
98,1909-03-31,1909,March,NAM,102.08,-1.6510833191469465
99,1909-04-30,1909,April,NAM,34.82,-1.1405653640946776
100,1909-05-31,1909,May,NAM,12.22,-1.8167663811109245
101,1909-06-30,1909,June,NAM,1.04,0.16376511609490427
102,1909-07-31,1909,July,NAM,0.29,0.57456723174451
103,1909-08-31,1909,August,NAM,1.08,-0.5693709561697262
104,1909-09-30,1909,September,NAM,0.35,0.7545923372628263
105,1909-10-31,1909,October,NAM,7.52,0.23436549625984854
106,1909-11-30,1909,November,NAM,22.17,0.1179036497481588
107,1909-12-31,1909,December,NAM,63.85,-1.441795847882585
108,1910-01-31,1910,January,NAM,78.38,-0.5410665161362271
109,1910-02-28,1910,February,NAM,91.82,-0.7858855947180167
110,1910-03-31,1910,March,NAM,50.82,0.1871398865992493
111,1910-04-30,1910,April,NAM,25.71,-0.4123583994693905
112,1910-05-31,1910,May,NAM,0.48,0.8236433864642356
113,1910-06-30,1910,June,NAM,3.41,-1.5495848416772922
114,1910-07-31,1910,July,NAM,2.38,-2.455088882431242
115,1910-08-31,1910,August,NAM,0.74,-0.06410949937890371
116,1910-09-30,1910,September,NAM,1.01,0.45641448444833205
117,1910-10-31,1910,October,NAM,9.93,-0.1798364574633911
118,1910-11-30,1910,November,NAM,12.1,0.9037151589300865
119,1910-12-31,1910,December,NAM,14.17,1.3457413543197845
120,1911-01-31,1911,January,NAM,22.81,1.1585980571645158
121,1911-02-28,1911,February,NAM,46.88,0.6765399856136376
122,1911-03-31,1911,March,NAM,42.71,0.47797075274442385
123,1911-04-30,1911,April,NAM,5.54,1.1999285902662893
124,1911-05-31,1911,May,NAM,5.79,-0.3706135015957388
125,1911-06-30,1911,June,NAM,2.15,-0.6386899274186559
126,1911-07-31,1911,July,NAM,1.25,-0.8170451460587062
127,1911-08-31,1911,August,NAM,2.41,-2.5458348900867667
128,1911-09-30,1911,September,NAM,0.28,0.7862172610461817
129,1911-10-31,1911,October,NAM,6.66,0.3821720025677265
130,1911-11-30,1911,November,NAM,28.0,-0.33703985556769384
131,1911-12-31,1911,December,NAM,32.66,0.30827028208303325
132,1912-01-31,1912,January,NAM,123.06,-1.9076494410071505
133,1912-02-29,1912,February,NAM,101.07,-1.086896645409334
134,1912-03-31,1912,March,NAM,37.33,0.6709017095706926
135,1912-04-30,1912,April,NAM,19.67,0.07044841352037173
136,1912-05-31,1912,May,NAM,1.55,0.5829927517704178
137,1912-06-30,1912,June,NAM,1.47,-0.14709584670764606
138,1912-07-31,1912,July,NAM,0.97,-0.41115820253276814
139,1912-08-31,1912,August,NAM,0.26,0.6492007925610808
140,1912-09-30,1912,September,NAM,0.84,0.5332178707793382
141,1912-10-31,1912,October,NAM,3.88,0.8599651276094719
142,1912-11-30,1912,November,NAM,14.47,0.7187724303540022
143,1912-12-31,1912,December,NAM,43.73,-0.31286572492945125
144,1913-01-31,1913,January,NAM,23.44,1.1393288708917164
145,1913-02-28,1913,February,NAM,42.05,0.8337165666773203
146,1913-03-31,1913,March,NAM,45.29,0.3854499593221612
147,1913-04-30,1913,April,NAM,36.76,-1.295639075551654
148,1913-05-31,1913,May,NAM,2.83,0.29511161867874786
149,1913-06-30,1913,June,NAM,3.38,-1.5278968675282767
150,1913-07-31,1913,July,NAM,0.28,0.5890631940132933
151,1913-08-31,1913,August,NAM,0.2,0.7383645790535789
152,1913-09-30,1913,September,NAM,4.13,-0.9531535470383677
153,1913-10-31,1913,October,NAM,6.21,0.4595126163334767
154,1913-11-30,1913,November,NAM,41.66,-1.402996679343774
155,1913-12-31,1913,December,NAM,39.0,-0.04746614831074756
